,latitude,longitude,altitude,time
197,39.74461,-105.20457,1762,198
198,39.74449,-105.20448,1762,199
199,39.74402,-105.20375,1771,200
200,39.74333,-105.20265,1767,201
201,39.74227,-105.201,1773,202
202,39.74213,-105.20083,1773,203
203,39.74211,-105.20084,1773,204
204,39.74207,-105.20084,1773,205
205,39.74202,-105.20083,1773,206
206,39.74194,-105.20076,1773,207
207,39.7419,-105.20063,1773,208
208,39.7419,-105.20055,1773,209
209,39.74191,-105.20052,1773,210
210,39.74192,-105.20049,1773,211
211,39.74185,-105.20038,1773,212
212,39.74161,-105.20001,1770,213
213,39.74132,-105.19953,1773,214
214,39.74076,-105.19871,1773,215
215,39.74063,-105.19854,1773,216
216,39.74061,-105.19854,1773,217
217,39.74058,-105.19852,1773,218
218,39.74055,-105.1985,1773,219
219,39.74052,-105.19841,1773,220
220,39.74052,-105.19838,1773,221
221,39.74018,-105.19781,1775,222
222,39.73934,-105.19652,1789,223
223,39.73923,-105.19635,1789,224
224,39.73921,-105.19635,1789,225
225,39.73917,-105.19633,1789,226
226,39.73911,-105.19626,1789,227
227,39.7391,-105.19621,1789,228
228,39.73911,-105.19618,1789,229
229,39.73902,-105.19603,1789,230
230,39.7379,-105.19427,1785,231
231,39.73784,-105.19419,1785,232
232,39.73775,-105.19415,1785,233
233,39.73769,-105.19415,1785,234
234,39.73764,-105.19412,1785,235
235,39.73756,-105.19402,1785,236
236,39.73755,-105.19388,1785,237
237,39.73757,-105.1938,1785,238
238,39.73763,-105.19373,1789,239
239,39.73772,-105.19371,1789,240
240,39.73783,-105.19377,1785,241
241,39.73787,-105.19386,1785,242
242,39.73788,-105.19398,1785,243
243,39.73786,-105.19406,1785,244
244,39.73793,-105.19413,1785,245
245,39.73804,-105.19431,1785,246
246,39.73829,-105.1947,1785,247
